country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,standard_category,price_local_numeric,scrape_date,source_category,search_term,price_text,price_gyd,image_url,source_url,price_per_kg_gyd,page,barcode_harmonized,sku_text_key,weight_bucket,match_key,regional_overlap,family_key,commercial_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Bravo,Bravo,Bravo Galleta Choco Crema,9999999766269,13,129.0,2.04,440 GR,0.44,29.32,4.65,Mass,Galleta,https://supermercadosrd.com/productos/bravo-galleta-choco-crema/9067,https://bravova.superbravo.com.do/articulos/22880?utm_source=supermercadosrd,Cookies,129.0,,,,,,,,,,,bravo_bravo galleta choco crema,0.44,bravo_bravo galleta choco crema_0.44,1,bravo_bravo_galleta_choco,1,0.3892608580720984,Value
Dominican Republic,DOP,Galletas,Bravo,Bravo,Bravo Galleta Maria De Leche,,,137.0,2.17,800 GR,0.8,17.12,2.71,Mass,Galleta,https://supermercadosrd.com/productos/bravo-galleta-maria-de-leche/9070,https://bravova.superbravo.com.do/articulos/24223?utm_source=supermercadosrd,Cookies,137.0,,,,,,,,,,,bravo_bravo galleta maria de leche,0.8,bravo_bravo galleta maria de leche_0.8,1,bravo_bravo_galleta_maria,1,0.22685955384416914,Value
Dominican Republic,DOP,Galletas,Bravo,Bravo,Bravo Galletas Soda 20 Paq,,,119.0,1.89,600 GR,0.6,19.83,3.14,Mass,Salada,https://supermercadosrd.com/productos/bravo-galletas-soda-20-paq/9058,https://bravova.superbravo.com.do/articulos/4555?utm_source=supermercadosrd,Cookies,119.0,,,,,,,,,,,bravo_bravo galletas soda 20 paq,0.6,bravo_bravo galletas soda 20 paq_0.6,1,bravo_bravo_galletas_soda,1,0.2628557192142772,Value
Dominican Republic,DOP,Galletas,Bravo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://bravova.superbravo.com.do/articulos/3915?utm_source=supermercadosrd,Cookies,175.0,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,160.0,2.54,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://www.garrido.com.do/p/181184?utm_source=supermercadosrd,Cookies,160.0,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://jumbo.com.do/galleta-dulce-sabor-chocolate-dino-10-und-paq-2006518?utm_source=supermercadosrd,Cookies,174.95,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,174.0,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://supermercadosnacional.com/galleta-dulce-sabor-chocolate-dino-10-und-paq-2006518?utm_source=supermercadosrd,Cookies,174.95,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://plazalama.com.do/p/galletas-sandwich-chocolate-rellenas-de-crema-dino-12-uds-753079000425?utm_source=supermercadosrd,Cookies,174.0,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
Dominican Republic,DOP,Galletas,Ritmo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,145.0,2.3,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://tiendasritmo.com/?utm_source=supermercadosrd,Cookies,145.0,,,,,,,,,,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,1,dino_dino_galleta_sandwich,1,,Market
